Name,Salary,Team,Position,Projected
Daniel Theis,3400,BOS,PF/C,12.99
Khem Birch,3300,ORL,PF/C,4.91
Robert Williams,3100,BOS,PF/C,1.27
Channing Frye,3100,CLE,PF/C,0
Jae Crowder,4700,UTA,SF/PF,22.11
Rodions Kurucs,4300,BKN,SF/PF,22.11
Jake Layman,3600,POR,SF/PF,16.95
Stanley Johnson,3400,DET,SF/PF,10.57
Derrick Rose,5900,MIN,PG/SG,29.26
Spencer Dinwiddie,5700,BKN,PG/SG,26.5
Marcus Smart,4400,BOS,PG/SG,21.11
Terry Rozier,4000,BOS,PG/SG,15.58
Anfernee Simons,3000,POR,PG/SG,0
PJ Dozier,3000,BOS,PG/SG,0
Andre Drummond,8400,DET,C,44.35
Marc Gasol,6800,MEM,C,34.84
Jarrett Allen,6100,BKN,C,29.83
Damian Lillard,8600,POR,PG,45.01
Elfrid Payton,6400,NO,PG,28.68
Ricky Rubio,5700,UTA,PG,0
Tyus Jones,3900,MIN,PG,0
Quinn Cook,3200,GS,PG,11.97
Rodney Hood,4300,CLE,SG/SF,21.32
E'Twaun Moore,4000,NO,SG/SF,18.44
Wes Iwundu,3300,ORL,SG/SF,10.07
Jonathon Simmons,3100,ORL,SG/SF,0
Troy Caupain,3000,ORL,SG,0
R.J. Hunter,3000,BOS,SG,0
Dario Saric,4200,MIN,PF,17.61
Tyler Cavanaugh,3000,UTA,PF,0
LaMarcus Aldridge,7600,SA,PF/C,34.99
Jaren Jackson Jr.,5600,MEM,PF/C,25.62
Taj Gibson,4600,MIN,PF/C,21.5
Jonas Jerebko,3300,GS,PF/C,12.94
Ivan Rabb,3100,MEM,PF/C,2.87
Jarell Martin,3000,ORL,PF/C,0
Henry Ellenson,3000,DET,PF/C,0
Gordon Hayward,5400,BOS,SF/PF,26.55
Cedi Osman,4400,CLE,SF/PF,20.98
Alfonzo McKinnie,3300,GS,SF/PF,12.02
Luol Deng,3000,MIN,SF/PF,4.09
Georges Niang,3000,UTA,SF/PF,3.58
Derrick White,5600,SA,PG/SG,24.84
Shabazz Napier,4100,BKN,PG/SG,18.87
Bruce Brown Jr.,3700,DET,PG/SG,12.1
Brad Wanamaker,3200,BOS,PG/SG,0
Ian Clark,3000,NO,PG/SG,0
Jusuf Nurkic,8200,POR,C,35.03
Marcin Gortat,3300,LAC,C,15.21
Damian Jones,3000,GS,C,0
Mike Conley,7000,MEM,PG,29.52
Shaun Livingston,3100,GS,PG,9.35
Zach Lofton,3000,DET,PG,0
Evan Fournier,5500,ORL,SG/SF,28.32
Andre Iguodala,3900,GS,SG/SF,18.98
Rodney McGruder,3300,MIA,SG/SF,13.41
C.J. Williams,3000,MIN,SG/SF,0
Duncan Robinson,3000,MIA,SG/SF,0
Gary Trent Jr.,3000,POR,SG,0
Keita Bates-Diop,3000,MIN,SF,0
Draymond Green,6900,GS,PF/C,34.21
Al Horford,6000,BOS,PF/C,30.85
Gorgui Dieng,3200,MIN,PF/C,13.32
